uno	mno	RL	EXT	ETF	ARP	SP	SA	NFD	NFI	LSD	NWM	NOM	NVM	NLR	RNR	RPR	ARL	RRT	RES	MNR	ISR	ARA	ARD	ARW	ARG	ARR	ADEV	ERD	AETF
0	0	0.2400 	0.5000 	0.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0625 	0.0143 	0.0000 	0.0000 	0.1667 	0.0000 	0.2000 	0.7000 	0.0914 	0.2000 	0.0000 	0.3750 	1.0000 	0.0000 	0.0000 	0.0000 	0.2500 	0.2500 	0.1700 	0.8927 	0.9000 
1	0	0.1000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0167 	0.0167 	0.2167 	0.0000 	0.0000 	1.0000 	0.1345 	1.0000 	0.6923 	0.2500 	1.0000 	0.0172 	0.0000 	0.0000 	0.1731 	0.1875 	0.1683 	0.2702 	0.9560 
2	0	0.0429 	1.0000 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.5938 	0.0457 	1.0000 	0.0000 	1.0000 	0.0167 	0.0625 	0.7083 	0.0375 	0.7917 	0.0294 	1.0000 	1.0000 	0.0469 	0.0000 	0.0000 	0.2821 	0.2872 	0.2211 	0.7898 	0.9509 
3	0	0.0771 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0167 	1.0000 	0.0000 	0.0000 	0.8246 	0.0835 	0.0000 	0.0526 	0.6250 	1.0000 	0.0417 	0.0000 	0.0833 	0.2315 	0.2250 	0.1173 	0.5983 	0.9962 
4	0	0.0371 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.8000 	0.2188 	0.0000 	0.0000 	0.0167 	0.1667 	0.0000 	0.0000 	0.8889 	0.1810 	0.1111 	0.2222 	0.1250 	1.0000 	0.0172 	0.0000 	0.0000 	0.1042 	0.1250 	0.2514 	0.5896 	0.5794 
5	0	0.1029 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0167 	1.0000 	0.0000 	0.2500 	0.7500 	0.0569 	0.3333 	0.0000 	0.2500 	1.0000 	0.0286 	0.0000 	0.3333 	0.3036 	0.2500 	0.4250 	0.4541 	0.7976 
6	0	0.0371 	1.0000 	0.0714 	1.0000 	1.0000 	0.0000 	0.2000 	0.1875 	0.0000 	0.0833 	0.0167 	0.2167 	0.0000 	0.1000 	0.8000 	0.0921 	0.3000 	0.0000 	0.2500 	1.0000 	0.0000 	0.0000 	0.0000 	0.4583 	0.6667 	0.1638 	0.7353 	0.7643 
7	0	0.5286 	0.5000 	0.5714 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.8657 	1.0000 	0.0000 	1.0000 	0.6833 	0.1622 	0.2432 	0.2401 	0.9865 	0.1017 	0.5000 	1.0000 	0.0000 	0.0000 	0.0000 	0.2875 	0.2778 	0.1047 	0.6540 	0.7268 
8	0	0.2943 	0.5000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0286 	0.0333 	0.0167 	0.5333 	0.1167 	0.0000 	1.0000 	0.2211 	1.0000 	0.5000 	0.1250 	1.0000 	0.0185 	0.0000 	0.0000 	0.0714 	0.0938 	0.1588 	0.3845 	0.9000 
9	0	0.0771 	0.5000 	1.0000 	1.0000 	1.0000 	0.0000 	0.6000 	0.1563 	0.0000 	0.2333 	0.0167 	0.6333 	0.0000 	0.1429 	0.8571 	0.1419 	0.1714 	0.3333 	0.5000 	1.0000 	0.0370 	0.0000 	0.0000 	0.2100 	0.3095 	0.2700 	0.5012 	0.8245 
10	0	0.1029 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0167 	0.8167 	0.0000 	0.0000 	0.9796 	0.0256 	0.0000 	0.0204 	0.2500 	1.0000 	0.0625 	0.0000 	0.0000 	0.1563 	0.1413 	0.1469 	0.4094 	0.9402 
11	0	0.1143 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0167 	0.0000 	0.4500 	0.0000 	0.2222 	0.7778 	0.1175 	0.3333 	0.1111 	0.2500 	1.0000 	0.0259 	0.0000 	0.2500 	0.2188 	0.2500 	0.2653 	0.7232 	0.6032 
12	0	0.0629 	1.0000 	0.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.1563 	0.0000 	0.2333 	0.1833 	1.0000 	0.0000 	0.0923 	0.8615 	0.0867 	0.0154 	0.3333 	1.0000 	1.0000 	0.0185 	0.0000 	0.0000 	0.1953 	0.3250 	0.1932 	0.6024 	0.9440 
13	0	0.0486 	0.5000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0167 	0.0167 	0.2167 	0.0000 	0.0769 	0.8462 	0.0374 	0.0000 	0.0000 	0.1250 	1.0000 	0.0234 	0.0000 	0.0000 	0.1833 	0.1875 	0.1865 	0.7042 	1.0000 
14	0	0.3457 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0313 	0.0000 	0.0000 	0.0167 	0.4667 	0.0500 	0.0000 	0.7692 	0.3477 	1.0000 	1.0000 	0.2500 	1.0000 	0.0259 	0.0000 	0.0000 	0.1071 	0.2083 	0.2433 	0.6658 	0.8846 
15	0	0.1629 	0.0000 	0.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0625 	0.0000 	0.0167 	0.0000 	1.0000 	0.0000 	0.0000 	0.5500 	0.0826 	0.0000 	0.0714 	0.3750 	1.0000 	0.0000 	0.0000 	0.0000 	0.1111 	0.2632 	0.1862 	0.6120 	0.8857 
16	0	0.1286 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0167 	0.0167 	0.2500 	0.0000 	0.0000 	0.8667 	0.0349 	1.0000 	0.1333 	0.3750 	1.0000 	0.0000 	0.0000 	0.0000 	0.1071 	0.2000 	0.1300 	0.2471 	0.9333 
17	0	0.0971 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0167 	0.0167 	1.0000 	0.0000 	0.0000 	0.8103 	0.0741 	0.0000 	0.0000 	0.6250 	1.0000 	0.0592 	0.0000 	0.0000 	0.2549 	0.2500 	0.1175 	0.5697 	0.9963 
18	0	0.2857 	0.0000 	0.4286 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0167 	0.3500 	0.0000 	0.0000 	0.9048 	0.2857 	1.0000 	0.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.3611 	0.3125 	0.1137 	0.3895 	0.9728 
19	0	0.1571 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.2000 	0.0000 	0.0000 	0.3833 	0.0000 	0.5500 	0.0000 	0.0000 	1.0000 	0.0771 	0.0400 	0.4400 	0.6250 	1.0000 	0.0000 	0.0000 	0.0000 	0.1500 	0.1786 	0.2250 	0.4236 	0.9143 
20	0	0.1600 	1.0000 	0.0000 	1.0000 	1.0000 	0.0000 	1.0000 	1.0000 	0.0000 	0.0500 	0.0167 	0.5333 	0.0000 	0.1250 	0.4375 	0.1807 	0.0000 	0.1563 	0.3750 	1.0000 	0.0000 	0.0000 	0.0000 	0.4808 	0.5000 	0.1406 	0.6631 	0.7076 
21	0	0.0914 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.2000 	0.0313 	0.0000 	0.0000 	0.0167 	1.0000 	0.0000 	0.0000 	1.0000 	0.0564 	0.8333 	0.2727 	0.7500 	1.0000 	0.0429 	0.0000 	0.0000 	0.0385 	0.0625 	0.1948 	0.3539 	0.9821 
22	0	0.1429 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.5500 	0.0167 	0.8167 	0.0000 	0.0000 	0.8571 	0.1535 	0.1905 	0.4762 	0.5000 	1.0000 	0.0250 	0.0000 	0.0000 	0.1316 	0.1944 	0.1845 	0.6320 	1.0000 
